"","Timestamp","ComputerType","FavColor","SlpHrs","FavSport","Age","OutdoorHrs","HairColor","IdealTemp","PhoneHrs","MusicGenre","NumStates","FavSeason","BfastAmt","WinterBreak","Age1"
"1","1/13/2025 15:42","Mac","Burgundy ","10","Swimming ","228","3","Black ","60","4","Pop",10,"Spring","20","Incredible",228
"2","1/13/2025 15:42","Mac","Yellow","8","Football","243","2","Black","65","3","",11,"Summer","0","Great",243
"3","1/13/2025 15:42","Mac","green","7","i don’t watch sports ","239","3","dark brown","68","4","indie rock",15,"Winter","3.5","great",239
"4","1/13/2025 15:42","Mac","Purple ","6","Basketball ","240","1","Black ","72","5","Pop ",15,"Winter","0","Fun ",240
"5","1/13/2025 15:42","Mac","blue","7","swim","235","2-Jan","dirty blonde","55","6.75","pop",10,"Spring","12","short",235
"6","1/13/2025 15:42","PC","Yellow","8-Jul","Hockey","237","2-Jan","Brown","60","5","Indie ",30,"Spring","10","Fun",237
"7","1/13/2025 15:43","Mac","purple","8","soccer","234","2","black","68","4","indie pop",16,"Spring","$3 ","slay",234
"8","1/13/2025 15:43","Mac","Dont have one","7","Baseball","252","8","Black","50","4","Retro",6,"Fall","0","Taxing",252
"9","1/13/2025 15:43","Mac","Lavender ","7","Soccer","246","2","Black","70","2.5","Acoustic",8,"Fall","7","Restful",246
"10","1/13/2025 15:43","PC","red","9","volleyball","242","2","black","72","3","R&B",7,"Fall","$0 ","relaxing",242
"11","1/13/2025 15:43","Mac","Black","7","Soccer","249","2-Jan","Dark","70","2 hours","Alternative rock",3,"Fall","5","It was great. I went to Italy with my girlfriend and had a great Christmas. ",249
"12","1/13/2025 15:43","PC","Sky blue ","8","Rowing","242","2","Brown","68","3","Indie",17,"Spring","0","Peaceful",242
"13","1/13/2025 15:43","Mac","Blue","7","Gymnastics","239","1","Brown","70","3 hrs","R&B",4,"Spring","0","Restful",239
"14","1/13/2025 15:43","Mac","Beige","7","Basketball","233","2","Blonde","58","6","Indie",18,"Fall","8","Long",233
"15","1/13/2025 15:43","Mac","Purple","8","Skiing ","246","5","Blonde","85","3.5","House",18,"Summer","10","Cold",246
"16","1/13/2025 15:43","Mac","Blue","8","Soccer","236","4","Brown","65","4","EDM",30,"Fall","8 dollars","Unproductive",236
"17","1/13/2025 15:43","Mac","Blue","8","Tennis","244","3","Brown","67","3","Pop",9,"Spring","$10 ","Busy",244
"18","1/13/2025 15:43","Mac","Blue","7","Soccer","246","2","Brown","71","2.3","Rap",16,"Summer","0","Magestic",246
"19","1/13/2025 15:44","PC","Green","9","Soccer","242","5","Black ","68","5","Indie ",4,"Spring","0","Long",242
"20","1/13/2025 15:44","Mac","Blue","8","Soccer","235","3","Brown/Black","57","5.5","Country",27,"Spring","6","Amazing",235
"21","1/13/2025 15:44","PC","brown","6","basketball","240","2","black","64","3.5","pop",6,"Winter","0","refreshing",240
"22","1/13/2025 15:44","PC","Blue","6","Wushu","235","2","Black","60","10","Hoyomix",10,"Spring","2","Uneventful ",235
"23","1/13/2025 15:44","Mac","Orange","7","Football","232","2","Orange","72","5 hours","Folk",17,"Fall","Like 5 dollars","Busy",232
"24","1/13/2025 15:44","Mac","Blue","7","Fútbol","229","11","Black","67","6","Hip hop",11,"Summer","","Random",229
"25","1/13/2025 15:44","PC","Green","7","Soccer","239","2","Brown","65","3","Rap",8,"Spring","4","Decent ",239
"26","1/13/2025 15:44","Mac","baby pink, burgundy red, black","7","basketball ","232","2","dirty brunette ","65","7 hours","r&b",7,"Summer","6","accomplished ",232
"27","1/13/2025 15:44","PC","Blue","8-Jun","None","240","3-Feb","Black","65-70","5","Pop",20,"Winter","$0 ","Relaxing",240
"28","1/13/2025 15:44","Mac","Blue","8","Soccer","241","5","black","75","5","R&B",4,"Winter","8","Fine",241
"29","1/13/2025 15:44","Mac","pink","9","basketball ","242","1","brown","77","6","country",13,"Summer","$5 ","relaxing",242
"30","1/13/2025 15:44","Mac","Purple ","7","Swimming ","236","2","Brown ","70 and sunny ","3.25 hours/day","Any",20,"Summer","0-4 dollars","Work",236
"31","1/13/2025 15:44","Mac","Blue","7","Golf","221","3","Blonde","88","2","Alt Rock",13,"Summer","$3 ","Chilled",221
"32","1/13/2025 15:44","PC","Green","8-Jun","Gymnastics","231 months (19 and 3 months)","3-Feb","Brown","72","6 hours ","Pop or folk",14,"Fall","15 dollars if eating out.  At home probably 5? ","Exciting! ",NA
"33","1/13/2025 15:44","Mac","red","9","basketball","232","1","brown","65","5","yacht rock",12,"Fall","5","short",232
"34","1/13/2025 15:45","PC","Black ","6","Track and field ","238","9","Black","70","2h and 15m","R&B",3,"Spring","8","Chill",238
"35","1/13/2025 15:45","Mac","Green","6 during school, 12 on break","Soccer","237","4","Blonde","76","7","Palmas/Bulerias",26,"Spring","$5 ","Busy then boring",237
